"legtype","agrarea","indic_ef","geo","time","values"
"TOTAL","TOTAL","HOLD_HOLD","BE32","2010",4470
"TOTAL","TOTAL","HOLD_HOLD","BE33","2010",3660
"TOTAL","TOTAL","HOLD_HOLD","BE34","2010",2670
"TOTAL","TOTAL","HOLD_HOLD","BE35","2010",2600
"TOTAL","TOTAL","HOLD_HOLD","BG31","2010",51340
"TOTAL","TOTAL","HOLD_HOLD","BG32","2010",43320
"TOTAL","TOTAL","HOLD_HOLD","BG33","2010",43780
"TOTAL","TOTAL","HOLD_HOLD","BG34","2010",56980
"TOTAL","TOTAL","HOLD_HOLD","BG41","2010",65560
"TOTAL","TOTAL","HOLD_HOLD","BG42","2010",109510
"TOTAL","TOTAL","HOLD_HOLD","CH01","2010",8490
"TOTAL","TOTAL","HOLD_HOLD","CH02","2010",18830
"TOTAL","TOTAL","HOLD_HOLD","CH03","2010",4750
"TOTAL","TOTAL","HOLD_HOLD","CH04","2010",3960
"TOTAL","TOTAL","HOLD_HOLD","CH05","2010",12590
"TOTAL","TOTAL","HOLD_HOLD","CH06","2010",9290
"TOTAL","TOTAL","HOLD_HOLD","CH07","2010",1160
"TOTAL","TOTAL","HOLD_HOLD","CY00","2010",38860
"TOTAL","TOTAL","HOLD_HOLD","CZ01","2010",70
"TOTAL","TOTAL","HOLD_HOLD","CZ02","2010",3030
"TOTAL","TOTAL","HOLD_HOLD","CZ03","2010",4400
"TOTAL","TOTAL","HOLD_HOLD","CZ04","2010",1750
"TOTAL","TOTAL","HOLD_HOLD","CZ05","2010",3910
"TOTAL","TOTAL","HOLD_HOLD","CZ06","2010",5590
"TOTAL","TOTAL","HOLD_HOLD","CZ07","2010",2570
"TOTAL","TOTAL","HOLD_HOLD","CZ08","2010",1550
"TOTAL","TOTAL","HOLD_HOLD","DK01","2010",2290
"TOTAL","TOTAL","HOLD_HOLD","DK02","2010",7090
"TOTAL","TOTAL","HOLD_HOLD","DK03","2010",11560
"TOTAL","TOTAL","HOLD_HOLD","DK04","2010",12620
"TOTAL","TOTAL","HOLD_HOLD","DK05","2010",7810
"TOTAL","TOTAL","HOLD_HOLD","EE00","2010",19610
"TOTAL","TOTAL","HOLD_HOLD","EL11","2010",53170
"TOTAL","TOTAL","HOLD_HOLD","EL12","2010",101210
"TOTAL","TOTAL","HOLD_HOLD","EL13","2010",24230
"TOTAL","TOTAL","HOLD_HOLD","EL14","2010",63520
"TOTAL","TOTAL","HOLD_HOLD","EL21","2010",33530
"TOTAL","TOTAL","HOLD_HOLD","EL22","2010",29050
"TOTAL","TOTAL","HOLD_HOLD","EL23","2010",88390
"TOTAL","TOTAL","HOLD_HOLD","EL24","2010",70460
"TOTAL","TOTAL","HOLD_HOLD","EL25","2010",94150
"TOTAL","TOTAL","HOLD_HOLD","EL30","2010",23380
"TOTAL","TOTAL","HOLD_HOLD","EL41","2010",30270
"TOTAL","TOTAL","HOLD_HOLD","EL42","2010",21490
"TOTAL","TOTAL","HOLD_HOLD","EL43","2010",90220
"TOTAL","TOTAL","HOLD_HOLD","ES11","2010",81170
"TOTAL","TOTAL","HOLD_HOLD","ES12","2010",23910
"TOTAL","TOTAL","HOLD_HOLD","ES13","2010",10350
"TOTAL","TOTAL","HOLD_HOLD","ES21","2010",16550
"TOTAL","TOTAL","HOLD_HOLD","ES22","2010",15870
"TOTAL","TOTAL","HOLD_HOLD","ES23","2010",10230
"TOTAL","TOTAL","HOLD_HOLD","ES24","2010",52770
"TOTAL","TOTAL","HOLD_HOLD","ES30","2010",8280
"TOTAL","TOTAL","HOLD_HOLD","ES41","2010",98250
"TOTAL","TOTAL","HOLD_HOLD","ES42","2010",122420
"TOTAL","TOTAL","HOLD_HOLD","ES43","2010",65230
"TOTAL","TOTAL","HOLD_HOLD","ES51","2010",60840
"TOTAL","TOTAL","HOLD_HOLD","ES52","2010",120180
"TOTAL","TOTAL","HOLD_HOLD","ES53","2010",10750
"TOTAL","TOTAL","HOLD_HOLD","ES61","2010",246100
"TOTAL","TOTAL","HOLD_HOLD","ES62","2010",32700
"TOTAL","TOTAL","HOLD_HOLD","ES63","2010",0
"TOTAL","TOTAL","HOLD_HOLD","ES64","2010",0
"TOTAL","TOTAL","HOLD_HOLD","ES70","2010",14170
"TOTAL","TOTAL","HOLD_HOLD","FI19","2010",23770
"TOTAL","TOTAL","HOLD_HOLD","FI1B","2010",4130
"TOTAL","TOTAL","HOLD_HOLD","FI1C","2010",15430
"TOTAL","TOTAL","HOLD_HOLD","FI1D","2010",19970
"TOTAL","TOTAL","HOLD_HOLD","FI20","2010",580
"TOTAL","TOTAL","HOLD_HOLD","FR10","2010",5030
"TOTAL","TOTAL","HOLD_HOLD","FR21","2010",24600
"TOTAL","TOTAL","HOLD_HOLD","FR22","2010",13870
"TOTAL","TOTAL","HOLD_HOLD","FR23","2010",11490
"TOTAL","TOTAL","HOLD_HOLD","FR24","2010",25080
