"milkitem","dairyprod","geo","time","values"
"PRO","D1110A","PL11","2016",1019
"PRO","D1110A","PL12","2016",2772
"PRO","D1110A","PL21","2016",371
"PRO","D1110A","PL22","2016",266
"PRO","D1110A","PL31","2016",781
"PRO","D1110A","PL32","2016",223
"PRO","D1110A","PL33","2016",257
"PRO","D1110A","PL34","2016",2660
"PRO","D1110A","PL41","2016",1806
"PRO","D1110A","PL42","2016",151
"PRO","D1110A","PL43","2016",86
"PRO","D1110A","PL51","2016",183
"PRO","D1110A","PL52","2016",281
"PRO","D1110A","PL61","2016",977
"PRO","D1110A","PL62","2016",1046
"PRO","D1110A","PL63","2016",365
"PRO","D1110A","PL71","2016",1019
"PRO","D1110A","PL81","2016",781
"PRO","D1110A","PL82","2016",223
"PRO","D1110A","PL84","2016",2660
"PRO","D1110A","PT11","2016",731.08
"PRO","D1110A","PT15","2016",0.47
"PRO","D1110A","PT16","2016",232.79
"PRO","D1110A","PT17","2016",74.75
"PRO","D1110A","PT18","2016",259.91
"PRO","D1110A","PT20","2016",622.5
"PRO","D1110A","PT30","2016",1.49
"PRO","D1110A","RO11","2016",711.6
"PRO","D1110A","RO12","2016",662.5
"PRO","D1110A","RO21","2016",951.3
"PRO","D1110A","RO22","2016",416.3
"PRO","D1110A","RO31","2016",472.3
"PRO","D1110A","RO32","2016",18.2
"PRO","D1110A","RO41","2016",378.8
"PRO","D1110A","RO42","2016",323
"PRO","D1110A","RS11","2016",109.24
"PRO","D1110A","RS12","2016",363.06
"PRO","D1110A","RS21","2016",753.48
"PRO","D1110A","RS22","2016",322.92
"PRO","D1110A","SE11","2016",26.45
"PRO","D1110A","SE12","2016",446.98
"PRO","D1110A","SE21","2016",824.2
"PRO","D1110A","SE22","2016",376.14
"PRO","D1110A","SE23","2016",728.4
"PRO","D1110A","SE31","2016",188.27
"PRO","D1110A","SE32","2016",117.86
"PRO","D1110A","SE33","2016",153.92
"PRO","D1110A","SI03","2016",431.42
"PRO","D1110A","SI04","2016",218.26
"PRO","D1110A","SK01","2016",45.68
"PRO","D1110A","SK02","2016",467.81
"PRO","D1110A","SK03","2016",230.47
"PRO","D1110A","SK04","2016",161.3
"PRO","D1110A","TR10","2016",102.05
"PRO","D1110A","TR21","2016",655.08
"PRO","D1110A","TR22","2016",979.91
"PRO","D1110A","TR31","2016",877.5
"PRO","D1110A","TR32","2016",1037.74
