"indic_ef","agrarea","geo","time","values"
"AGRAREA_HA","TOTAL","FR81","2010",956590
"AGRAREA_HA","TOTAL","FR82","2010",815450
"AGRAREA_HA","TOTAL","FR83","2010",179940
"AGRAREA_HA","TOTAL","FR91","2010",31420
"AGRAREA_HA","TOTAL","FR92","2010",24980
"AGRAREA_HA","TOTAL","FR93","2010",25350
"AGRAREA_HA","TOTAL","FR94","2010",42810
"AGRAREA_HA","TOTAL","HR","2010",1316010
"AGRAREA_HA","TOTAL","HR03","2010",220380
"AGRAREA_HA","TOTAL","HR04","2010",1095630
"AGRAREA_HA","TOTAL","HU","2010",4686340
"AGRAREA_HA","TOTAL","HU10","2010",259570
"AGRAREA_HA","TOTAL","HU21","2010",531170
"AGRAREA_HA","TOTAL","HU22","2010",524370
"AGRAREA_HA","TOTAL","HU23","2010",689440
"AGRAREA_HA","TOTAL","HU31","2010",523270
"AGRAREA_HA","TOTAL","HU32","2010",1051090
"AGRAREA_HA","TOTAL","HU33","2010",1107420
"AGRAREA_HA","TOTAL","IE","2010",4991350
"AGRAREA_HA","TOTAL","IE01","2010",2297670
"AGRAREA_HA","TOTAL","IE02","2010",2693680
"AGRAREA_HA","TOTAL","IS","2010",1595670
"AGRAREA_HA","TOTAL","IS00","2010",1595670
"AGRAREA_HA","TOTAL","IT","2010",12856050
"AGRAREA_HA","TOTAL","ITC1","2010",1010780
"AGRAREA_HA","TOTAL","ITC2","2010",55600
"AGRAREA_HA","TOTAL","ITC3","2010",43780
"AGRAREA_HA","TOTAL","ITC4","2010",986830
"AGRAREA_HA","TOTAL","ITF1","2010",453630
"AGRAREA_HA","TOTAL","ITF2","2010",197520
"AGRAREA_HA","TOTAL","ITF3","2010",549530
"AGRAREA_HA","TOTAL","ITF4","2010",1285290
"AGRAREA_HA","TOTAL","ITF5","2010",519130
"AGRAREA_HA","TOTAL","ITF6","2010",549250
"AGRAREA_HA","TOTAL","ITG1","2010",1387520
"AGRAREA_HA","TOTAL","ITG2","2010",1153690
"AGRAREA_HA","TOTAL","ITH1","2010",240540
"AGRAREA_HA","TOTAL","ITH2","2010",137220
"AGRAREA_HA","TOTAL","ITH3","2010",811440
"AGRAREA_HA","TOTAL","ITH4","2010",218440
"AGRAREA_HA","TOTAL","ITH5","2010",1064210
"AGRAREA_HA","TOTAL","ITI1","2010",754340
"AGRAREA_HA","TOTAL","ITI2","2010",326880
"AGRAREA_HA","TOTAL","ITI3","2010",471830
"AGRAREA_HA","TOTAL","ITI4","2010",638600
"AGRAREA_HA","TOTAL","LT","2010",2742560
"AGRAREA_HA","TOTAL","LT00","2010",2742560
"AGRAREA_HA","TOTAL","LU","2010",131110
"AGRAREA_HA","TOTAL","LU00","2010",131110
"AGRAREA_HA","TOTAL","LV","2010",1796290
"AGRAREA_HA","TOTAL","LV00","2010",1796290
"AGRAREA_HA","TOTAL","ME","2010",221300
"AGRAREA_HA","TOTAL","ME00","2010",221300
"AGRAREA_HA","TOTAL","MT","2010",11450
"AGRAREA_HA","TOTAL","MT00","2010",11450
"AGRAREA_HA","TOTAL","NL","2010",1872350
"AGRAREA_HA","TOTAL","NL11","2010",162190
"AGRAREA_HA","TOTAL","NL12","2010",229080
"AGRAREA_HA","TOTAL","NL13","2010",149940
"AGRAREA_HA","TOTAL","NL21","2010",202620
"AGRAREA_HA","TOTAL","NL22","2010",238200
"AGRAREA_HA","TOTAL","NL23","2010",89310
"AGRAREA_HA","TOTAL","NL31","2010",66630
"AGRAREA_HA","TOTAL","NL32","2010",130690
"AGRAREA_HA","TOTAL","NL33","2010",134190
"AGRAREA_HA","TOTAL","NL34","2010",117990
"AGRAREA_HA","TOTAL","NL41","2010",251400
"AGRAREA_HA","TOTAL","NL42","2010",100100
"AGRAREA_HA","TOTAL","NO","2010",1005940
"AGRAREA_HA","TOTAL","NO01","2010",78210
"AGRAREA_HA","TOTAL","NO02","2010",208120
"AGRAREA_HA","TOTAL","NO03","2010",192310
"AGRAREA_HA","TOTAL","NO04","2010",130100
"AGRAREA_HA","TOTAL","NO05","2010",143330
"AGRAREA_HA","TOTAL","NO06","2010",161960
"AGRAREA_HA","TOTAL","NO07","2010",91910
"AGRAREA_HA","TOTAL","PL","2010",14447290
"AGRAREA_HA","TOTAL","PL11","2010",957060
"AGRAREA_HA","TOTAL","PL12","2010",1834790
"AGRAREA_HA","TOTAL","PL21","2010",565200
"AGRAREA_HA","TOTAL","PL22","2010",357310
"AGRAREA_HA","TOTAL","PL31","2010",1356740
"AGRAREA_HA","TOTAL","PL32","2010",569520
"AGRAREA_HA","TOTAL","PL33","2010",503000
"AGRAREA_HA","TOTAL","PL34","2010",1031750
"AGRAREA_HA","TOTAL","PL41","2010",1722000
"AGRAREA_HA","TOTAL","PL42","2010",897290
"AGRAREA_HA","TOTAL","PL43","2010",417700
